Monthly Approximate Case Count 2015,Station,January,February,March,April,May,June,July,August,September,October,November,December
Region01,3,565,239,220,311,279,914,925,4645,4918,2272.5,2272.5,1048
Region02,5,507.5,215.5,160.5,359,434,1074,1162,3821,3549,1528,1528,149
Region03,6,2410,1199.5,953.5,547,349,791,1450,6406,13134,6927,6927,3481
Region04A,6,2651.5,1325.5,1083,604,419,834,1132,4695,14291,7511.5,7511.5,2483
Region04B,5,289,172.5,193,59,83,217,301,890,917,352,352,140
Region05,4,256.5,129,109,61,63,77,93,405,500,272.5,272.5,177
Region06,1,968,491.5,498.5,232,147,383,657,2029,3020,1510,1510,867
Region07,3,2363.5,1167,1213.5,223,102,238,326,1486,5308,3051.5,3051.5,1896
Region08,6,654.5,340.5,313,67,31,51,96,190,509,369,369,192
Region09,2,655.5,358.5,353.5,365,407,639,505,978,1130,578,578,357
Region10,2,1460,772.5,729.5,469,364,493,494,1183,2042,1165,1165,1201
Region11,1,882,484,468.5,215,153,265,282,574,862,529.5,529.5,803
Region12,1,1543.5,734.5,671.5,519,408,650,590,1427,1637,913.5,913.5,1074
ARMM,1,222.5,110,140.5,134,104,85,54,114,166,92.5,92.5,114
CAR,1,423.5,191,143,120,119,818,723,2488,2810,1328.5,1328.5,768
CARAGA,2,931.5,448.5,390,248,110,197,238,628,1510,971.5,971.5,1288
NCR,4,1646,928.5,886,472,329,640,873,3621,10636,5103.5,5103.5,1368
,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December
Region01,,188.33,79.67,73.33,103.67,93.00,304.67,308.33,1548.33,1639.33,757.50,757.50,349.33
Region02,,101.50,43.10,32.10,71.80,86.80,214.80,232.40,764.20,709.80,305.60,305.60,29.80
Region03,,401.67,199.92,158.92,91.17,58.17,131.83,241.67,1067.67,2189.00,1154.50,1154.50,580.17
Region04A,,441.92,220.92,180.50,100.67,69.83,139.00,188.67,782.50,2381.83,1251.92,1251.92,413.83
Region04B,,57.80,34.50,38.60,11.80,16.60,43.40,60.20,178.00,183.40,70.40,70.40,28.00
Region05,,64.13,32.25,27.25,15.25,15.75,19.25,23.25,101.25,125.00,68.13,68.13,44.25
Region06,,968.00,491.50,498.50,232.00,147.00,383.00,657.00,2029.00,3020.00,1510.00,1510.00,867.00
Region07,,787.83,389.00,404.50,74.33,34.00,79.33,108.67,495.33,1769.33,1017.17,1017.17,632.00
Region08,,109.08,56.75,52.17,11.17,5.17,8.50,16.00,31.67,84.83,61.50,61.50,32.00
Region09,,327.75,179.25,176.75,182.50,203.50,319.50,252.50,489.00,565.00,289.00,289.00,178.50
Region10,,730.00,386.25,364.75,234.50,182.00,246.50,247.00,591.50,1021.00,582.50,582.50,600.50
Region11,,882.00,484.00,468.50,215.00,153.00,265.00,282.00,574.00,862.00,529.50,529.50,803.00
Region12,,1543.50,734.50,671.50,519.00,408.00,650.00,590.00,1427.00,1637.00,913.50,913.50,1074.00
ARMM,,222.50,110.00,140.50,134.00,104.00,85.00,54.00,114.00,166.00,92.50,92.50,114.00
CAR,,423.50,191.00,143.00,120.00,119.00,818.00,723.00,2488.00,2810.00,1328.50,1328.50,768.00
CARAGA,,465.75,224.25,195.00,124.00,55.00,98.50,119.00,314.00,755.00,485.75,485.75,644.00
NCR,,411.50,232.13,221.50,118.00,82.25,160.00,218.25,905.25,2659.00,1275.88,1275.88,342.00
