Monthly Approximate Case Count 2013,January,February,March,April,May,June,July,August,September,October,November,December
Region01,565,250.69,189.75,257.67,209.5,611,2010,2524.78,2534.11,1506.61,1208.17,684
Region02,507.5,227.47,140.13,209.33,185.25,201,1447,1812.89,1609.56,891.89,790,152
Region03,2410,1222.66,777.63,553.25,294.25,537,2580,4406.22,6637.56,4569.22,3777.67,2550
Region04A,2651.5,1334.66,904.5,684.17,414,1694,4698,3759.11,6845.44,4566.28,4061.83,1774
Region04B,289,181.09,155,117.92,113,387,754,656,556.67,350,249,92
Region05,256.5,127.5,90.75,90.42,72.5,202,421,410.33,431.67,345.17,282.83,126
Region06,968,494.03,438.88,411.67,355.25,2411,6070,3469.22,2910.56,1676.22,1100.67,330
Region07,2363.5,1136.19,965.88,637.25,373.25,404,874,2421.78,3291.78,3001.94,2523.5,582
Region08,654.5,378.28,375.25,263.58,249.75,134,308,435.89,457.22,367.89,324.67,102
Region09,655.5,367.59,320.13,356.67,419.25,389,532,743.22,691.22,516.89,457,212
Region10,1460,751.84,661.13,618.83,463,394,413,1569.56,1608.89,1163.89,857,432
Region11,882,493.88,423.88,392.08,313.25,704,1132,870,697.33,583.17,471.5,804
Region12,1543.5,731.59,627.88,775.25,585.5,823,1859,1618.33,1565.33,1329.83,1007.17,532
ARMM,222.5,107.63,113.38,146.83,140.25,105,89,180.33,181,143.83,97.17,48
CAR,423.5,194.81,128.5,172.08,213,683,2124,1697.11,1535.44,873.28,638.17,142
CARAGA,931.5,457.09,371,358.92,322.25,96,165,566.33,785.67,622.5,565.17,250
NCR,1646,945.53,726.5,527.25,355.5,656,1511,3371.78,5772.78,3931.61,3225.17,1484
