Monthly Approximate Case Count 2014,January,February,March,April,May,June,July,August,September,October,November,December
Region01,565,285.75,99,287.67,136,243,923.75,2524.78,2534.11,1506.61,1208.17,959.65
Region02,507.5,263.375,79,239.33,57,126,565.75,1812.89,1609.56,891.89,790,504.95
Region03,2410,1292.125,250,629,140,278,1674.75,4406.22,6637.56,4569.22,3777.67,2694.77
Region04A,2651.5,1362.125,369,769.67,203,292,1539.25,3759.11,6845.44,4566.28,4061.83,2652.58
Region04B,289,206.875,41,142.67,84,111,387.75,656,556.67,350,249,223.45
Region05,256.5,123,36,104.67,48,48,187,410.33,431.67,345.17,282.83,299.82
Region06,968,501.625,260,477.67,211,534,2233.75,3469.22,2910.56,1676.22,1100.67,1185.04
Region07,2363.5,1043.75,223,692,153,246,1199,2421.78,3291.78,3001.94,2523.5,1866.26
Region08,654.5,491.625,562,411.33,343,328,428.5,435.89,457.22,367.89,324.67,405.33
Region09,655.5,394.875,220,449.67,419,684,707.25,743.22,691.22,516.89,457,398.8
Region10,1460,689.875,456,782.33,384,844,1127.5,1569.56,1608.89,1163.89,857,1048.54
Region11,882,523.5,290,490.33,309,726,944.25,870,697.33,583.17,471.5,637.69
Region12,1543.5,722.875,497,947,466,617,1260.25,1618.33,1565.33,1329.83,1007.17,921.86
ARMM,222.5,100.5,32,166.33,77,115,202,180.33,181,143.83,97.17,103.73
CAR,423.5,206.25,85,189.33,103,113,1070.75,1697.11,1535.44,873.28,638.17,628.78
CARAGA,931.5,482.875,314,509.67,498,663,444,566.33,785.67,622.5,565.17,780.88
NCR,1646,996.625,248,591,115,104,1358.75,3371.78,5772.78,3931.61,3225.17,1828.24
