Monthly Approximate Case Count 2017,January,February,March,April,May,June,July,August,September,October,November,December
Region01,306,154,178,142,222,471,845,1370.33,1370.33,1370.33,856,921
Region02,233,76,138,87,156,347,495,849.67,849.67,849.67,704,521
Region03,2212,899,1149,487,416,964,2860,3701.67,3701.67,3701.67,2315,2458
Region04A,1693,837,963,442,481,900,1970,3129.33,3129.33,3129.33,2729,2915
Region04B,301,159,158,44,113,227,286,351.00,351.00,351.00,199,195
Region05,233,105,112,87,89,192,315,459.00,459.00,459.00,321,359
Region06,801,316,394,248,371,801,1352,1454.67,1454.67,1454.67,815,840
Region07,2702,1190,1189,608,680,761,1054,1232.33,1232.33,1232.33,860,994
Region08,745,311,379,289,299,228,376,343.67,343.67,343.67,285,342
Region09,600,302,324,241,387,666,682,309.67,309.67,309.67,260,216
Region10,1141,408,579,344,441,485,524,652.67,652.67,652.67,374,417
Region11,746,347,351,192,219,238,285,259.00,259.00,259.00,116,280
Region12,1630,617,648,867,751,718,617,943.00,943.00,943.00,351,404
ARMM,286,128,176,135,222,202,160,149.00,149.00,149.00,16,23
CAR,176,88,87,58,61,156,467,710.33,710.33,710.33,386,381
CARAGA,548,211,280,160,188,167,157,213.00,213.00,213.00,115,214
NCR,1771,859,1122,582,660,1185,2599,4104.33,4104.33,4104.33,2641,2165
