Monthly Approximate Case Count 2014,Station,January,February,March,April,May,June,July,August,September,October,November,December
Region01,3,565,285.75,99,287.67,136,243,923.75,2524.78,2534.11,1506.61,1208.17,959.65
Region02,5,507.5,263.375,79,239.33,57,126,565.75,1812.89,1609.56,891.89,790,504.95
Region03,6,2410,1292.125,250,629,140,278,1674.75,4406.22,6637.56,4569.22,3777.67,2694.77
Region04A,6,2651.5,1362.125,369,769.67,203,292,1539.25,3759.11,6845.44,4566.28,4061.83,2652.58
Region04B,5,289,206.875,41,142.67,84,111,387.75,656,556.67,350,249,223.45
Region05,4,256.5,123,36,104.67,48,48,187,410.33,431.67,345.17,282.83,299.82
Region06,1,968,501.625,260,477.67,211,534,2233.75,3469.22,2910.56,1676.22,1100.67,1185.04
Region07,3,2363.5,1043.75,223,692,153,246,1199,2421.78,3291.78,3001.94,2523.5,1866.26
Region08,6,654.5,491.625,562,411.33,343,328,428.5,435.89,457.22,367.89,324.67,405.33
Region09,2,655.5,394.875,220,449.67,419,684,707.25,743.22,691.22,516.89,457,398.8
Region10,2,1460,689.875,456,782.33,384,844,1127.5,1569.56,1608.89,1163.89,857,1048.54
Region11,1,882,523.5,290,490.33,309,726,944.25,870,697.33,583.17,471.5,637.69
Region12,1,1543.5,722.875,497,947,466,617,1260.25,1618.33,1565.33,1329.83,1007.17,921.86
ARMM,1,222.5,100.5,32,166.33,77,115,202,180.33,181,143.83,97.17,103.73
CAR,1,423.5,206.25,85,189.33,103,113,1070.75,1697.11,1535.44,873.28,638.17,628.78
CARAGA,2,931.5,482.875,314,509.67,498,663,444,566.33,785.67,622.5,565.17,780.88
NCR,4,1646,996.625,248,591,115,104,1358.75,3371.78,5772.78,3931.61,3225.17,1828.24
,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December
Region01,,188.33,95.25,33.00,95.89,45.33,81.00,307.92,841.59,844.70,502.20,402.72,319.88
Region02,,101.50,52.68,15.80,47.87,11.40,25.20,113.15,362.58,321.91,178.38,158.00,100.99
Region03,,401.67,215.35,41.67,104.83,23.33,46.33,279.13,734.37,1106.26,761.54,629.61,449.13
Region04A,,441.92,227.02,61.50,128.28,33.83,48.67,256.54,626.52,1140.91,761.05,676.97,442.10
Region04B,,57.80,41.38,8.20,28.53,16.80,22.20,77.55,131.20,111.33,70.00,49.80,44.69
Region05,,64.13,30.75,9.00,26.17,12.00,12.00,46.75,102.58,107.92,86.29,70.71,74.96
Region06,,968.00,501.63,260.00,477.67,211.00,534.00,2233.75,3469.22,2910.56,1676.22,1100.67,1185.04
Region07,,787.83,347.92,74.33,230.67,51.00,82.00,399.67,807.26,1097.26,1000.65,841.17,622.09
Region08,,109.08,81.94,93.67,68.56,57.17,54.67,71.42,72.65,76.20,61.32,54.11,67.56
Region09,,327.75,197.44,110.00,224.84,209.50,342.00,353.63,371.61,345.61,258.45,228.50,199.40
Region10,,730.00,344.94,228.00,391.17,192.00,422.00,563.75,784.78,804.45,581.95,428.50,524.27
Region11,,882.00,523.50,290.00,490.33,309.00,726.00,944.25,870.00,697.33,583.17,471.50,637.69
Region12,,1543.50,722.88,497.00,947.00,466.00,617.00,1260.25,1618.33,1565.33,1329.83,1007.17,921.86
ARMM,,222.50,100.50,32.00,166.33,77.00,115.00,202.00,180.33,181.00,143.83,97.17,103.73
CAR,,423.50,206.25,85.00,189.33,103.00,113.00,1070.75,1697.11,1535.44,873.28,638.17,628.78
CARAGA,,465.75,241.44,157.00,254.84,249.00,331.50,222.00,283.17,392.84,311.25,282.59,390.44
NCR,,411.50,249.16,62.00,147.75,28.75,26.00,339.69,842.95,1443.20,982.90,806.29,457.06
