Monthly Approximate Case Count 2017,Station,January,February,March,April,May,June,July,August,September,October,November,December
Region01,3,306,154,178,142,222,471,845,1370.33,1370.33,1370.33,856,921
Region02,5,233,76,138,87,156,347,495,849.67,849.67,849.67,704,521
Region03,6,2212,899,1149,487,416,964,2860,3701.67,3701.67,3701.67,2315,2458
Region04A,6,1693,837,963,442,481,900,1970,3129.33,3129.33,3129.33,2729,2915
Region04B,5,301,159,158,44,113,227,286,351,351,351,199,195
Region05,4,233,105,112,87,89,192,315,459,459,459,321,359
Region06,1,801,316,394,248,371,801,1352,1454.67,1454.67,1454.67,815,840
Region07,3,2702,1190,1189,608,680,761,1054,1232.33,1232.33,1232.33,860,994
Region08,6,745,311,379,289,299,228,376,343.67,343.67,343.67,285,342
Region09,2,600,302,324,241,387,666,682,309.67,309.67,309.67,260,216
Region10,2,1141,408,579,344,441,485,524,652.67,652.67,652.67,374,417
Region11,1,746,347,351,192,219,238,285,259,259,259,116,280
Region12,1,1630,617,648,867,751,718,617,943,943,943,351,404
ARMM,1,286,128,176,135,222,202,160,149,149,149,16,23
CAR,1,176,88,87,58,61,156,467,710.33,710.33,710.33,386,381
CARAGA,2,548,211,280,160,188,167,157,213,213,213,115,214
NCR,4,1771,859,1122,582,660,1185,2599,4104.33,4104.33,4104.33,2641,2165
,,,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,November,December
Region01,,102.00,51.33,59.33,47.33,74.00,157.00,281.67,456.78,456.78,456.78,285.33,307.00
Region02,,46.60,15.20,27.60,17.40,31.20,69.40,99.00,169.93,169.93,169.93,140.80,104.20
Region03,,368.67,149.83,191.50,81.17,69.33,160.67,476.67,616.95,616.95,616.95,385.83,409.67
Region04A,,282.17,139.50,160.50,73.67,80.17,150.00,328.33,521.56,521.56,521.56,454.83,485.83
Region04B,,60.20,31.80,31.60,8.80,22.60,45.40,57.20,70.20,70.20,70.20,39.80,39.00
Region05,,58.25,26.25,28.00,21.75,22.25,48.00,78.75,114.75,114.75,114.75,80.25,89.75
Region06,,801.00,316.00,394.00,248.00,371.00,801.00,1352.00,1454.67,1454.67,1454.67,815.00,840.00
Region07,,900.67,396.67,396.33,202.67,226.67,253.67,351.33,410.78,410.78,410.78,286.67,331.33
Region08,,124.17,51.83,63.17,48.17,49.83,38.00,62.67,57.28,57.28,57.28,47.50,57.00
Region09,,300.00,151.00,162.00,120.50,193.50,333.00,341.00,154.84,154.84,154.84,130.00,108.00
Region10,,570.50,204.00,289.50,172.00,220.50,242.50,262.00,326.34,326.34,326.34,187.00,208.50
Region11,,746.00,347.00,351.00,192.00,219.00,238.00,285.00,259.00,259.00,259.00,116.00,280.00
Region12,,1630.00,617.00,648.00,867.00,751.00,718.00,617.00,943.00,943.00,943.00,351.00,404.00
ARMM,,286.00,128.00,176.00,135.00,222.00,202.00,160.00,149.00,149.00,149.00,16.00,23.00
CAR,,176.00,88.00,87.00,58.00,61.00,156.00,467.00,710.33,710.33,710.33,386.00,381.00
CARAGA,,274.00,105.50,140.00,80.00,94.00,83.50,78.50,106.50,106.50,106.50,57.50,107.00
NCR,,442.75,214.75,280.50,145.50,165.00,296.25,649.75,1026.08,1026.08,1026.08,660.25,541.25
